Amphi,Position,Latitude,Longitude,Accuracy_m,Altitude_m
2,3,36.6883356,2.8664855,6.4,177.1
2,3,36.6883371,2.8664836,6.6,177.3
2,3,36.6883386,2.8664824,6.7,176.8
2,3,36.6883412,2.8664849,6.7,177.3
2,3,36.6883428,2.8664857,6.5,177.3
2,3,36.688343,2.8664856,6.6,177.1
2,3,36.6883445,2.8664869,6.5,177.1
2,3,36.6883449,2.8664859,6.4,177.1
2,3,36.688345,2.8664856,6.5,177.3
2,3,36.6883459,2.8664885,6.1,177.1
2,3,36.6883454,2.8664901,5.4,177.1
2,3,36.6883454,2.8664903,5.2,177.1
2,3,36.6883456,2.8664904,5.1,177.1
2,3,36.6883459,2.8664899,5.2,177.1
2,3,36.6883458,2.8664855,6.1,176.8
2,3,36.6883444,2.8664911,6.2,177.1
2,3,36.6883442,2.8664947,6.5,177.1
2,3,36.6883431,2.8664974,7.0,177.3
2,3,36.6883425,2.8664986,6.6,176.8
2,3,36.6883418,2.8664992,6.8,177.1
2,3,36.6883412,2.8664992,7.1,176.8
2,3,36.6883407,2.8664998,7.8,177.1
2,3,36.6883411,2.8665001,6.6,177.1
2,3,36.6883421,2.8664998,6.2,177.1
2,3,36.688342,2.8664989,5.3,176.8
2,3,36.688342,2.8664987,5.3,176.8
2,3,36.6883415,2.866499,5.2,177.1
2,3,36.6883416,2.8664995,5.1,177.1
2,3,36.6883425,2.8665012,5.2,177.1
2,3,36.6883374,2.8665047,5.5,176.8
2,3,36.6883365,2.8665054,5.4,176.8
2,3,36.6883364,2.8665049,5.4,177.4
2,3,36.6883363,2.8665046,5.4,177.4
2,3,36.6883361,2.8665047,5.3,177.1
2,3,36.6883415,2.8664993,5.4,177.1
2,3,36.6883471,2.8664987,14.7,177.3
2,3,36.6883498,2.866495,25.6,177.1
2,3,36.688348,2.8664916,17.7,177.1
2,3,36.6883475,2.8664917,15.2,177.1
2,3,36.6883472,2.8664918,10.2,177.4
2,3,36.6883467,2.8664919,9.7,177.3
2,3,36.6883471,2.8664921,9.3,177.3
2,3,36.6883474,2.866493,9.3,177.3
2,3,36.6883473,2.8664958,9.2,177.3
2,3,36.6883468,2.8664975,8.9,177.1
2,3,36.6883515,2.8664964,8.4,176.8
